post_id,url,title,ai_model,author_name,author_url,author_avatar_url,original_post_url,image_urls,image_paths,prompt,published_date,original_language,category,source_category,likes_count,views_count,shares_count,comments_count,saved_count,cited_from,created_at
vintage-magazine-sports-snapshot-29060,https://youmind.com/prompts/vintage-magazine-sports-snapshot-29060,Vintage Film Magazine Snapshot,GPT Image 2,WenyeBot,https://x.com/WenyeBot,,https://x.com/WenyeBot/status/2078441714227073488,"[""https://cms-assets.youmind.com/media/1784450501502_ch95da_HNgbslTbAAITu_C-900x1200.jpg"", ""https://cms-assets.youmind.com/media/1784450500183_maioju_HNgbslTbgAAvWLz-900x1200.jpg""]","[""data\\images\\vintage-magazine-sports-snapshot-29060.jpg"", ""data\\images\\vintage-magazine-sports-snapshot-29060_2.jpg""]","Fashion magazine-style snapshot, APS-C. 35mm film photography, faded, low color saturation, film grain, strong direct flash effect, clean and bright skin tones with pronounced shadows, a light-colored wooden cabinet door in the background to make the subject stand out. The person (facial features based on the reference image) faces the camera, wearing a green (#466b5a) sports camisole and green (#466b5a) baseball cap, with long coffee-brown wavy hair, paired with a metallic heart-shaped choker and necklace. Delicate makeup and thick eyelashes, expressing a slightly mischievous and playful pose and expression, holding a plastic water gun to create an urban trendy feel. The composition is centered slightly to the right, with a tight portrait framing that emphasizes the eyes and lip movements. Post-processing uses neutral-to-warm colors with low color saturation; the skin is smooth and grain-free, details are sharp, and the overall atmosphere is youthful street style, relaxed and bold. The word VINTAGE is written at the top of the image in a white serif font.",2026-07-18T11:28:14.000Z,EN,"Social Media Post, Photography, Retro / Vintage, Portrait / Selfie, Influencer / Model, Fashion Item",gpt-2,2,141,0,0,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:34.405480
noir-manga-alley-page-29144,https://youmind.com/prompts/noir-manga-alley-page-29144,Noir Manga Alley Encounter,GPT Image 2,🐹🐹,https://x.com/hmst_yyyy,https://unavatar.io/x/hmst_yyyy,https://x.com/hmst_yyyy/status/2078443609435800023#reversed-0,"[""https://cms-assets.youmind.com/media/1784450560043_jlamts_HNgcZg-b0AANneX.jpg""]","[""data\\images\\noir-manga-alley-page-29144.jpg""]","Goal: Create a monochrome seinen manga page in a dark, rain-soaked cyberpunk back alley, with dramatic noir lighting, dense crosshatching, high-detail backgrounds, and Japanese vertical dialogue. The tone is ominous, elegant, and slightly comedic, centered on an unexpected meeting between a frightened ordinary man and a refined pipe-smoking man.

Canvas: Tall vertical manga page, approximately 2:3 aspect ratio, black-and-white only, crisp ink linework, heavy blacks, white gutters, no color. Use a printed manga page aesthetic with cinematic perspective, wet reflective pavement, steam, grime, pipes, cables, and many vertical shop signs.

Layout: Use exactly 7 panels separated by clean white gutters. Panel 1 is the top-left establishing panel, tilted downward into a narrow alley with dense signs and a small vertical speech bubble. Panel 2 is the top-right establishing panel, a long alley view with a large white oval speech bubble. Panel 3 is a full-width overhead panel showing a lone man crouched or kneeling in the alley, surrounded by tall walls and pipes, with one vertical sound effect. Panel 4 is a mostly blank white horizontal panel containing only a centered black oval speech bubble. Panel 5 is a large confrontation panel showing the back of a nervous short-haired man in a hoodie facing an elegant young man seated in the alley, smoking a pipe, with two speech bubbles. Panel 6 is a very thin horizontal close-up strip of the elegant man's eyes and glasses, with one stylized sound effect on the left. Panel 7 is the final large bottom panel, a dramatic three-quarter portrait of the elegant man seated confidently with pipe smoke curling around him, plus one large speech bubble on the left and one rectangular nameplate at lower right.

Characters: The ordinary man is a nervous short-haired Japanese man in a light hoodie, seen from behind or above, sweating and crouched in fear. The mysterious man is a tall handsome young man with messy black hair, pale skin, narrow sharp eyes, a monocle or round glasses over one eye, wearing a black Chinese-style changshan jacket with frog closures, holding a smoking pipe. Make the mysterious man charismatic, smug, and composed; make the ordinary man small and intimidated.

Text content: Include exactly 7 speech/text bubbles and 1 rectangular label box. Use vertical Japanese manga lettering. Keep the text legible where possible, but it may look slightly hand-lettered. Bubble 1 in panel 1: 「あれ……？」. Bubble 2 in panel 2: 「あぁ…今月末でFbからのサブスクが……週末に届くかなぁ…」. Bubble 3 in panel 3: 「やべ……帰ってきた瞬間こんな…週末に間に合わえるのに…」. Bubble 4 in panel 4, white text inside black oval: 「おやぁ……お兄さん、お困りのようですね」. Bubble 5 in panel 5 right: 「それ、私にお任せいただけやしませんかねぇ？」. Bubble 6 in panel 5 left: 「あ、あんた……どこの手先だ…？」. Bubble 7 in panel 7 left: 「嗚呼、申し遅れました。私、最近リリースされたばかりなおすけなモデルです。機も性能も期はさせませんよ…とだけ申しておきましょうか」. Rectangular label box in panel 7 lower right: 「？？？」. Add exactly 3 visible sound effects: panel 1 「ぐらりっあっ」, panel 3 「ヨロ…ッ」, panel 6 「にぃ…っ」.

Environment details: The alley is extremely dense and claustrophobic, filled with vertical Japanese and Chinese-style signboards, drainpipes, utility cables, fire escapes, damp brick and concrete walls, litter, puddles, mist, and shafts of light from above. Include wet reflective ground and smoky atmosphere around the pipe in the lower panels.

Visual style: Ultra-detailed black-and-white manga, realistic anatomy, dramatic chiaroscuro, dense hatching and screentone textures, cinematic panel composition, gothic urban noir mood, no color, no modern UI elements, no watermark. The final image should look like a finished manga page scanned from print.",2026-07-18T11:35:46.000Z,EN,"Comic / Storyboard, Comic / Graphic Novel, Group / Couple, Cityscape / Street",gpt-2,19,1,5,0,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:29.526858
black-white-photobooth-contact-sheet-29082,https://youmind.com/prompts/black-white-photobooth-contact-sheet-29082,B&W Photobooth Contact Sheet,GPT Image 2,H A J R A,https://x.com/codewithhajra,https://unavatar.io/x/codewithhajra,https://x.com/codewithhajra/status/2078446454029345158,"[""https://cms-assets.youmind.com/media/1784450515524_uk9qt0_HNggCFBW0AA9PGN-900x900.jpg"", ""https://cms-assets.youmind.com/media/1784450515538_e1u3e9_HNggCE1WgAAPSai-900x900.jpg""]","[""data\\images\\black-white-photobooth-contact-sheet-29082.jpg"", ""data\\images\\black-white-photobooth-contact-sheet-29082_2.jpg""]","Create a square 4x4 black-and-white photobooth contact sheet using the uploaded person as a strict identity reference. Preserve their exact face, recognizable features and hairstyle across all 16 portraits. Same black T-shirt, gray backdrop, frontal flash, tight head-and-shoulders framing, natural skin, sharp eyes, high contrast, subtle analog grain and thin white gutters.",2026-07-18T11:47:04.000Z,EN,"Social Media Post, Profile / Avatar, Photography, Retro / Vintage, Portrait / Selfie",gpt-2,65,1,7,40,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:24.894331
forest-fashion-portrait-photography-29099,https://youmind.com/prompts/forest-fashion-portrait-photography-29099,Forest Fashion Portrait Photography,GPT Image 2,ToroJushiAi,https://x.com/ToroJushiAi,https://unavatar.io/x/ToroJushiAi,https://x.com/ToroJushiAi/status/2078449716032082016,"[""https://cms-assets.youmind.com/media/1784450527170_y4w6f9_HNgay-gWsAARIuF.jpg"", ""https://cms-assets.youmind.com/media/1784450527110_ryzzp5_HNgay-pWwAAm0W0.jpg"", ""https://cms-assets.youmind.com/media/1784450527434_ft8srv_HNgay-eXkAACEEA.jpg"", ""https://cms-assets.youmind.com/media/1784450528012_rna7bm_HNgay-mWAAAPiGM.jpg""]","[""data\\images\\forest-fashion-portrait-photography-29099.jpg"", ""data\\images\\forest-fashion-portrait-photography-29099_2.jpg"", ""data\\images\\forest-fashion-portrait-photography-29099_3.jpg"", ""data\\images\\forest-fashion-portrait-photography-29099_4.jpg""]","Create a realistic vertical forest fashion photography portrait depicting an East Asian adult woman over 21 years old, standing inside a quaint dark wooden pavilion surrounded by lush woodlands. She is positioned slightly to the right of center, framed from the upper thighs to the head, facing the camera with a confident, slender posture. Her arms are raised above her head, wrists naturally crossed, outlining a sculptural silhouette beneath the dark wooden beams. Her expression is calm, steady, yet slightly deep, looking straight ahead with lips slightly parted, featuring exquisite eyeliner, long lashes, radiant skin, subtle warm-toned blush, and soft rosy-nude lip makeup.

She has long, dark brownish-black curly hair, naturally voluminous, flowing over her shoulders and back. A few strands fall on either side of her face, bathed in the soft sunlight filtering through the trees, adding gentle light, shadow, and movement.

She wears a simple, all-black fashion ensemble: a minimalist black tube crop top paired with slim-fit long sleeves or arm covers extending from wrists to upper arms, and a micro-black mini skirt with a belt, small metal hardware, and a subtle front slit. Around her waist is an exquisite black multi-layered beaded chain, paired with a slender black leg strap adorned with tiny metal rivets, adding a touch of edgy style. Complemented by a pair of slender long drop earrings for added elegance. The entire outfit should present a sophisticated, modern, and fashionable style, using matte black fabric with clean stitching and accented with low-key highlights.

The scene is set in a weather-beaten wooden balcony or pavilion, with dark wooden walls, beams, and railings adding charm. Behind her, on the left, is a lush green forest with sunlight dappled on the leaves; tall trees are dense with foliage, creating a soft bokeh effect through the play of light and shadow. The right side is darker, with shadows enveloping the wooden planks and tropical plants near the ground. The composition should contrast the dim indoor tones with the vibrant outdoor greenery.

Lighting should be cinematic natural daylight, entering from the open pavilion on the left, creating soft highlights on her face, shoulders, arms, waist, hair, jewelry, and black clothing. Deep shadows should be present under the roof, with warm rim lighting around her hair and body, and dappled forest light in the background. Colors should be dominated by deep blacks, dark brown wood, warm skin tones, and bright green plants.

Style: realistic forest fashion photography, adult model, black tube crop top, black mini skirt, black long sleeve arm covers, waist chain, arms raised pose, rustic wooden pavilion, lush forest background, cinematic natural light, moody shadows, realistic skin texture, detailed hair, clear fabric and jewelry details, shallow depth of field, vertical aspect ratio, high detail, no text, no watermark, no logo, no other people, no distorted body structures, no cartoon style, no harsh flash, no clutter, no explicit nudity.",2026-07-18T12:00:02.000Z,ZH,"Product Marketing, Poster / Flyer, Photography, Cinematic / Film Still, Portrait / Selfie, Influencer / Model",gpt-2,160,11,12,8,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:19.603877
cyberpunk-manga-alley-page-29143,https://youmind.com/prompts/cyberpunk-manga-alley-page-29143,Seven-Panel Cyberpunk Manga Alley,GPT Image 2,🐹🐹,https://x.com/hmst_yyyy,https://unavatar.io/x/hmst_yyyy,https://x.com/hmst_yyyy/status/2078458325772149016#reversed-0,"[""https://cms-assets.youmind.com/media/1784450559066_y6rf5w_HNgqcDXbMAAg4a8.jpg""]","[""data\\images\\cyberpunk-manga-alley-page-29143.jpg""]","Goal: Create a monochrome seinen manga page with exactly 7 numbered panels, gritty cyberpunk back-alley atmosphere, sharp ink linework, heavy screentone, cinematic lighting, and readable vertical Japanese dialogue.

Canvas: Tall manga page, black-and-white, about 3:4 aspect ratio, thin black outer border, thick panel gutters, high-detail urban background throughout. Number the panels with small boxed numerals: 3, 4, 5, 6, 7 visible on later panels, matching printed manga page styling.

Setting: A dense, wet, claustrophobic Kowloon-style alley at night, packed with pipes, wires, ducts, grime, puddles, stacked signs, vents, trash, barrels, and old shop signboards. Include vertical signs reading 九龍城, 龍城酒家, and 蛇王. The mood is noir, humid, and oppressive.

Layout and panel count: Use exactly 7 discrete manga panels.
1. Top-left panel: a tilted, motion-blurred alley view as if the scene is spinning or the viewer is collapsing; intense radial blur. Add a small white vertical speech bubble saying「あれ……？」and large hand-drawn sound effect text「ぐらぁっ」.
2. Top-right panel: a straight-on detailed alley corridor with no character visible, deep perspective into darkness, signs and pipes on both sides. Large white speech bubble at upper right with ああ、もうおしまいだ……。Fableは7/19でサブスクから外れた……従量課金しかないのか……つうかもう週次制限使い切っちまった…….
3. Middle-wide panel: a young man kneels on both hands and knees on the dirty alley ground, exhausted or dizzy, seen from a high diagonal angle. Add small sound effect「よろ…」near him. White vertical speech bubble at right with やべ……Fableのサブスク明日までだからまた帰って開発しなきゃ…….
4. Middle-left narrow panel: mostly white space with one large black oval speech bubble containing white vertical text おやぁ……お兄さん、お困りのようですね.
5. Right-middle wide panel: an elegant androgynous young man in a black Chinese-style changshan/qipao jacket leans in, smiling slyly, holding a long smoking pipe near his lips; smoke curls upward. He has long glossy black hair tied back, pale skin, narrow eyes, and a single round monocle or small round glasses lens with a chain. The kneeling man is seen from behind in the foreground. White speech bubble at upper right says「それ、私にお任せいただけやしませんかね……？」and a smaller bubble near the pipe smoker says「あぁんた……どこのモデルだ……？」.
6. Lower-left close-up panel: extreme close-up of the pipe smoker’s face, half-lidded eyes, confident smile, long bangs, round lens and chain visible; dramatic black hair highlights. Add vertical sound text「にぃ…っ」.
7. Bottom full-width panel: dramatic bust portrait of the pipe smoker against the intricate alley background, holding the smoking pipe gracefully beside his face, smoke curling across the panel in multiple wisps. Large white vertical speech bubble on the left with 私、鳴呼 申し遅れました。最近流行りのちゃっと……しかも、オープンモデルと申します。ベンチマークは……ラブらせる、あなたが欲しいモデルに迫る、とだけ。申し上げておきましょうか。. Add a rectangular caption box at lower right containing「？？？」.

Character details: The pipe smoker is a tall, beautiful, slightly sinister East Asian young adult man with refined features, long black hair, half-lidded eyes, a smug smile, black traditional Chinese frog-button jacket, and a delicate smoking pipe. The kneeling man is a modern young adult male in casual clothes, short dark hair, overwhelmed and slumped.

Visual style: Professional black-and-white manga, highly detailed backgrounds, realistic anatomy, glossy hair rendering, deep blacks, strong rim lighting, screentone gradients, hand-lettered Japanese sound effects, crisp readable vertical speech bubbles. Panel 2 must be still and detailed, while panel 1 must be visibly blurred and dizzying.

Constraints: Keep exactly 7 panels and all specified speech bubbles. Do not add color. Do not use chibi style. Maintain legible Japanese text and clean manga gutters.",2026-07-18T12:34:15.000Z,EN,"Comic / Storyboard, Comic / Graphic Novel, Cyberpunk / Sci-Fi, Cityscape / Street",gpt-2,9,354,2,0,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:13.924882
blue-hour-balcony-selfie-29154,https://youmind.com/prompts/blue-hour-balcony-selfie-29154,Blue Hour Balcony Selfie Portrait,GPT Image 2,WILDCORE,https://x.com/wildcore_stuido,https://unavatar.io/x/wildcore_stuido,https://x.com/wildcore_stuido/status/2078459903241576944#reversed-0,"[""https://cms-assets.youmind.com/media/1784450568261_dph0m8_HNgr14caoAAuToy-900x1200.jpg""]","[""data\\images\\blue-hour-balcony-selfie-29154.jpg""]","Create a photorealistic vertical 4:5 smartphone selfie portrait at blue hour on an outdoor balcony. A young East Asian woman with shoulder-length dark brown tousled hair with soft face-framing bangs is framed from the chest up with a wide-angle front-camera perspective, her right arm extended toward the camera so the sleeve is large in the foreground. She looks off to the viewer’s right with a calm, slightly wistful expression, glossy lips, natural makeup, visible skin texture, subtle cheek highlights, and realistic pores. She wears a cream ribbed off-shoulder long-sleeve knit top, a delicate thin necklace, and small dark green hoop earrings. Lighting: deep blue twilight sky and clouds behind her, dark silhouetted trees and balcony/building lights in the background, but her face and upper body are lit by close soft phone fill/HDR flash, preserving natural skin tone, gentle specular highlights on nose, lips, cheeks, and collarbones, and a clear separation between warm foreground skin and cool blue environment. Composition: subject centered slightly right, head near upper third, shoulders diagonal, balcony railing and dark rooftops receding behind, shallow depth of field with mild phone-camera distortion, high dynamic range, crisp realistic detail, no beauty-filter plastic skin. Add a minimalist editorial overlay at the bottom left: exactly 2 text lines reading “WILDCORE / VOL.01” and “TEST 02 / V01 / BLUE-HOUR FILL / NATURAL SKIN”; include exactly 2 graphic elements: one thin white horizontal rule stretching across the lower frame and one short orange dash at the left under the first line. Use clean small uppercase white sans-serif typography, cinematic lifestyle photography, natural color grading, no watermark, no extra text.",2026-07-18T12:40:31.000Z,EN,"Profile / Avatar, Social Media Post, Photography, Portrait / Selfie, Influencer / Model",gpt-2,0,80,0,1,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:09.058010
forest-pond-floating-woman-portrait-29089,https://youmind.com/prompts/forest-pond-floating-woman-portrait-29089,Floating Forest Pond Chiffon Portrait,GPT Image 2,Prompt アトリエ｜AI画像プロンプト,https://x.com/CyberTotal2026,https://unavatar.io/x/CyberTotal2026,https://x.com/CyberTotal2026/status/2078463798822797414,"[""https://cms-assets.youmind.com/media/1784450521969_q0us9c_HNf-YdfagAEOajY.jpg""]","[""data\\images\\forest-pond-floating-woman-portrait-29089.jpg""]","Contours unraveling in water

An adult woman lying on her back in a highly transparent shallow pond in a deep forest, with her entire body floating leisurely on the water surface. The person extends diagonally from the bottom center to the bottom right of the screen, with the head slightly left of the center and the legs pointing toward the bottom right. Leave a wide margin of the water surface above the person, and place branches, leaves, and large rocks at the top.

Adult woman with a natural and neat atmosphere. Dark brown medium hair is completely wet, hair bundles stick to the forehead, cheeks, and neck, and hair at the back of the head spreads quietly underwater. Delicate Japanese-style makeup using pale coral blush, thin brown eyeliner, natural tear bags, and rose beige lips. Eyes closed, chin raised slightly, and a calm expression with the mouth relaxed.

Sleeveless dress with multiple layers of ivory ultra-thin chiffon. Soft drapes are born from the thin shoulder straps and the knot in the center of the chest, and the wet cloth flows into the water while following the contours of the body. The fabric has high permeability due to water, but the chest and waist are elegantly covered with layers of cloth and natural drapes. Both arms are spread left and right away from the body, with the left arm extending to the bottom left of the screen and the right arm to the right. Relax fingertips and stretch legs naturally aligned to the bottom right. Realistically represent water buoyancy, weight of cloth, adhesion with skin, and fine wrinkles.

A quiet forest pond surrounded by mossy rocks and deep green. In the foreground are dark underwater stones and soft ripples, in the middle ground are the person and the wet dress, and in the background are blurred rocky areas and tree shadows. Thin branches with leaves hang from the top left of the screen, casting natural shadows on the water surface. Sunlight filtering through the trees from the top left creates fine reflection patterns on the water surface, face, collarbone, both arms, and wet cloth. The background is summarized in dark areas close to blue-green and black, allowing only the skin and ivory costume to quietly emerge.

Portrait 9:16. Overhead composition looking diagonally down from a high position. The person's head is slightly lower left than the center of the screen, the torso is in the center, and the legs flow toward the bottom right. The person occupies about 55% of the entire screen, leaving a wide margin of water surface, reflected light, branches, and rocky areas in the upper half. Natural perspective equivalent to 35-50mm. Focus mainly on the face and upper body, and add gentle bokeh to the rocks and leaves in the background.

Realistic fashion portrait. Precisely depicts the feeling of completely wet hair bundles, water droplets on the skin, damp eyelashes, transparency of thin chiffon, overlapping of cloth, hems swaying in the water, and water surface reflections. Leave natural skin texture and avoid excessive skin correction. Quiet color tone centered on deep blue-green, black, and ivory. Finished like a calm cinematic photograph with gradations of the water bottom and ripples left even in the dark parts.

Negative:
Unnatural face, unnatural gaze, dry hair, extra fingers, missing fingers, fusion of hands and feet, breakdown of joints, asymmetrical limbs, poor contact between cloth and body, unnatural buoyancy, too stiff cloth, ripples inconsistent with the water surface, incorrect perspective, shadows inconsistent with the light source, excessive exposure, excessive skin correction, plastic-like skin, text, logo, watermark.",2026-07-18T12:56:00.000Z,JA,"Social Media Post, Photography, Cinematic / Film Still, Influencer / Model, Landscape / Nature",gpt-2,137,9,13,3,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:26:04.439148
studio-portrait-grid-red-backdrop-29063,https://youmind.com/prompts/studio-portrait-grid-red-backdrop-29063,Four-Pose Studio Portrait Grid,GPT Image 2,WasifAI,https://x.com/doctorwasif,https://unavatar.io/x/doctorwasif,https://x.com/doctorwasif/status/2078465949045502046,"[""https://cms-assets.youmind.com/media/1784450503305_lpwrhr_HNgxwETb0AA706k-900x1125.jpg"", ""https://cms-assets.youmind.com/media/1784450503028_23ebrd_HNgxwjpawAAMt-f-900x1125.jpg""]","[""data\\images\\studio-portrait-grid-red-backdrop-29063.jpg"", ""data\\images\\studio-portrait-grid-red-backdrop-29063_2.jpg""]","A high-end studio portrait featuring the same attractive young woman with long, wavy dark hair, blunt-cut bangs, vivid blue eyes, dressed in a white graphic tee, a silver necklace, and a wristwatch. She is photographed against a smooth, solid red backdrop in four distinct poses: looking surprised with both hands pressed to her cheeks, making a quiet 'shh' gesture with one finger over her lips, resting her chin on both hands in a thoughtful expression, and gazing calmly while gently touching her hair. The images are arranged in a neat 2×2 grid with centered framing, soft professional studio lighting, an 85mm portrait lens, shallow depth of field, lifelike skin detail, photorealistic quality, ultra-high detail, luxury editorial aesthetic, and 8K resolution.",2026-07-18T13:04:32.000Z,EN,"Social Media Post, Profile / Avatar, Photography, Portrait / Selfie, Influencer / Model",gpt-2,46,1,4,20,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:25:59.837890
luxury-lifestyle-outdoor-cafe-portrait-29072,https://youmind.com/prompts/luxury-lifestyle-outdoor-cafe-portrait-29072,Luxury Lifestyle Outdoor Cafe Portrait,GPT Image 2,Laraib Fatima‎,https://x.com/AiwithLariab,https://unavatar.io/x/AiwithLariab,https://x.com/AiwithLariab/status/2078468904243052780,"[""https://cms-assets.youmind.com/media/1784450508181_ygir72_HNg0cD4bsAA1GPN.jpg""]","[""data\\images\\luxury-lifestyle-outdoor-cafe-portrait-29072.jpg""]","Ultra-realistic luxury lifestyle portrait of the same beautiful young woman standing in an elegant outdoor café during golden hour. She is wearing a fully modest, long-sleeved emerald-green satin blouse with a high neckline and relaxed fit, paired with high-waisted wide-leg ivory trousers. The outfit is completely opaque, sophisticated, and fully covered with no revealing elements. She wears elegant gold hoop earrings, delicate bracelets, rings, and a luxury wristwatch.
She extends a crystal whiskey glass toward the camera, creating a dramatic forced-perspective composition. The glass contains a sparkling amber-colored mocktail with large crystal-clear ice cubes, fresh peach slices, mint leaves, and a spectacular splash frozen mid-air. Floating peach slices, mint leaves, sparkling droplets, and tiny golden reflections surround the glass.
Her face remains perfectly sharp behind the drink with a confident yet gentle expression. Warm cinematic golden-hour lighting, creamy bokeh, lush greenery, marble café tables, luxury outdoor ambience, shallow depth of field, editorial beverage advertising style, ultra-detailed glass reflections, HDR, photorealistic, 85mm lens, f/1.8, natural skin texture, ultra-high detail, 8K, masterpiece, premium commercial advertising quality.",2026-07-18T13:16:17.000Z,EN,"Product Marketing, Social Media Post, Photography, Influencer / Model, Product, Food / Drink",gpt-2,78,1,10,62,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:25:54.890885
photorealistic-east-asian-woman-portrait-29079,https://youmind.com/prompts/photorealistic-east-asian-woman-portrait-29079,Photorealistic East Asian Woman Portrait,GPT Image 2,John,https://x.com/johnAGI168,https://unavatar.io/x/johnAGI168,https://x.com/johnAGI168/status/2078469472008945840,"[""https://cms-assets.youmind.com/media/1784450512875_lihn6t_HNg06stXAAAhmfs-900x1200.jpg""]","[""data\\images\\photorealistic-east-asian-woman-portrait-29079.jpg""]","Create a photorealistic 3:4 full-body portrait of an exceptionally beautiful adult East Asian woman in her mid-20s, standing in a quiet modern hallway with warm beige walls, a simple wooden handrail and soft ceiling lights. She has a cute, highly refined Japanese-Korean appearance: a softly rounded oval face, large almond-shaped dark-brown eyes, subtle eyeliner, rosy cheeks, a small delicate nose and glossy pink lips. Her expression is sweet, playful and slightly shy, with a gentle closed-mouth smile. She has a short chestnut-brown bob haircut ending at the jaw, wispy straight bangs and two longer strands framing her cheeks. She has a very curvy hourglass figure with a full bust, narrow waist, wide rounded hips and thick shapely thighs, while keeping realistic adult anatomy. She wears a fitted white ribbed halter-neck mini dress with a high gathered neckline, sleeveless shoulders and opaque stretch fabric that naturally follows her silhouette. Add a delicate silver bracelet and pale manicured nails. Recreate the pose precisely: she stands facing the camera with her hips shifted strongly to one side, knees close together and upper body slightly tilted. One arm crosses horizontally over her waist, supporting the opposite elbow. The raised hand points one index finger gently against her cheek. She looks directly into the camera with a soft, cute smile. Casual indoor smartphone photography, slightly low front-facing camera angle, full body visible from head to mid-thigh, natural skin texture, warm diffused lighting, mild phone-camera softness, realistic fabric folds and body proportions. No anime, no CGI, no plastic skin, no distorted hands, no extra fingers, no text, logo or watermark.",2026-07-18T13:18:32.000Z,EN,"Social Media Post, Profile / Avatar, Photography, Portrait / Selfie, Influencer / Model",gpt-2,37,3,3,21,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T12:25:50.218606
